"Name","Activity type","Description"
"Vasan Eye Care To Residence 2016-10-29 20:36","driving",""

"Name","Marker type","Description","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time"
"Split 1","","Total distance: 0.00 km (0.0 mi)
Total time: 00:59
Moving time: 00:00
Average speed: 0.00 km/h (0.0 mi/h)
Average moving speed: 0.00 km/h (0.0 mi/h)
Max speed: 0.00 km/h (0.0 mi/h)
Average pace: 0:00 min/km (0:00 min/mi)
Average moving pace: 0:00 min/km (0:00 min/mi)
Fastest pace: 0:00 min/km (0:00 min/mi)
Max elevation: -54 m (-177 ft)
Min elevation: -54 m (-177 ft)
Elevation gain: 0 m (0 ft)
Max grade: 0 %
Min grade: 0 %
Recorded: 29/10/2016 8:40pm
","16.511367","80.638621","-54.0","19.0","30","4.1461","2016-10-29T15:06:19.219Z"
"Split 2","","Total distance: 0.19 km (0.1 mi)
Total time: 00:59
Moving time: 00:45
Average speed: 11.18 km/h (6.9 mi/h)
Average moving speed: 14.86 km/h (9.2 mi/h)
Max speed: 18.46 km/h (11.5 mi/h)
Average pace: 5:22 min/km (8:38 min/mi)
Average moving pace: 4:02 min/km (6:30 min/mi)
Fastest pace: 3:15 min/km (5:14 min/mi)
Max elevation: -58 m (-190 ft)
Min elevation: -59 m (-195 ft)
Elevation gain: 0 m (0 ft)
Max grade: 0 %
Min grade: 0 %
Recorded: 29/10/2016 8:41pm
","16.515058","80.639439","-61.0","11.0","30","5.1284","2016-10-29T15:12:21.000Z"
"Split 3","","Total distance: 0.00 km (0.0 mi)
Total time: 01:00
Moving time: 00:00
Average speed: 0.00 km/h (0.0 mi/h)
Average moving speed: 0.00 km/h (0.0 mi/h)
Max speed: 0.00 km/h (0.0 mi/h)
Average pace: 0:00 min/km (0:00 min/mi)
Average moving pace: 0:00 min/km (0:00 min/mi)
Fastest pace: 0:00 min/km (0:00 min/mi)
Max elevation: -9223372036854775808 m (-9223372036854775808 ft)
Min elevation: 9223372036854775807 m (9223372036854775807 ft)
Elevation gain: 0 m (0 ft)
Max grade: 0 %
Min grade: 0 %
Recorded: 29/10/2016 8:42pm
","16.515058","80.639439","-61.0","11.0","30","5.1284","2016-10-29T15:12:21.000Z"
"Man ","","","16.515058","80.639439","-61.0","11.0","30","5.1284","2016-10-29T15:12:21.000Z"
"Split 4","","Total distance: 0.00 km (0.0 mi)
Total time: 00:59
Moving time: 00:00
Average speed: 0.00 km/h (0.0 mi/h)
Average moving speed: 0.00 km/h (0.0 mi/h)
Max speed: 0.00 km/h (0.0 mi/h)
Average pace: 0:00 min/km (0:00 min/mi)
Average moving pace: 0:00 min/km (0:00 min/mi)
Fastest pace: 0:00 min/km (0:00 min/mi)
Max elevation: -9223372036854775808 m (-9223372036854775808 ft)
Min elevation: 9223372036854775807 m (9223372036854775807 ft)
Elevation gain: 0 m (0 ft)
Max grade: 0 %
Min grade: 0 %
Recorded: 29/10/2016 8:43pm
","16.515058","80.639439","-61.0","11.0","30","5.1284","2016-10-29T15:12:21.000Z"
"Split 5","","Total distance: 0.00 km (0.0 mi)
Total time: 01:00
Moving time: 00:00
Average speed: 0.00 km/h (0.0 mi/h)
Average moving speed: 0.00 km/h (0.0 mi/h)
Max speed: 0.00 km/h (0.0 mi/h)
Average pace: 0:00 min/km (0:00 min/mi)
Average moving pace: 0:00 min/km (0:00 min/mi)
Fastest pace: 0:00 min/km (0:00 min/mi)
Max elevation: -9223372036854775808 m (-9223372036854775808 ft)
Min elevation: 9223372036854775807 m (9223372036854775807 ft)
Elevation gain: 0 m (0 ft)
Max grade: 0 %
Min grade: 0 %
Recorded: 29/10/2016 8:44pm
","16.515058","80.639439","-61.0","11.0","30","5.1284","2016-10-29T15:12:21.000Z"
"Split 6","","Total distance: 0.00 km (0.0 mi)
Total time: 00:59
Moving time: 00:00
Average speed: 0.00 km/h (0.0 mi/h)
Average moving speed: 0.00 km/h (0.0 mi/h)
Max speed: 0.00 km/h (0.0 mi/h)
Average pace: 0:00 min/km (0:00 min/mi)
Average moving pace: 0:00 min/km (0:00 min/mi)
Fastest pace: 0:00 min/km (0:00 min/mi)
Max elevation: -9223372036854775808 m (-9223372036854775808 ft)
Min elevation: 9223372036854775807 m (9223372036854775807 ft)
Elevation gain: 0 m (0 ft)
Max grade: 0 %
Min grade: 0 %
Recorded: 29/10/2016 8:45pm
","16.515058","80.639439","-61.0","11.0","30","5.1284","2016-10-29T15:12:21.000Z"
"Split 7","","Total distance: 0.02 km (0.0 mi)
Total time: 01:00
Moving time: 00:04
Average speed: 1.29 km/h (0.8 mi/h)
Average moving speed: 19.41 km/h (12.1 mi/h)
Max speed: 20.79 km/h (12.9 mi/h)
Average pace: 46:27 min/km (74:45 min/mi)
Average moving pace: 3:06 min/km (4:59 min/mi)
Fastest pace: 2:53 min/km (4:39 min/mi)
Max elevation: -67 m (-220 ft)
Min elevation: -68 m (-223 ft)
Elevation gain: 0 m (0 ft)
Max grade: 0 %
Min grade: 0 %
Recorded: 29/10/2016 8:46pm
","16.517647","80.634054","-67.0","262.0","30","5.775","2016-10-29T15:17:21.000Z"
"Split 8","","Total distance: 0.25 km (0.2 mi)
Total time: 00:59
Moving time: 00:54
Average speed: 14.81 km/h (9.2 mi/h)
Average moving speed: 16.43 km/h (10.2 mi/h)
Max speed: 21.47 km/h (13.3 mi/h)
Average pace: 4:03 min/km (6:31 min/mi)
Average moving pace: 3:39 min/km (5:53 min/mi)
Fastest pace: 2:48 min/km (4:30 min/mi)
Max elevation: -66 m (-217 ft)
Min elevation: -68 m (-225 ft)
Elevation gain: 0 m (0 ft)
Max grade: -1 %
Min grade: -2 %
Recorded: 29/10/2016 8:47pm
","16.517463","80.632266","-69.0","353.0","30","0","2016-10-29T15:18:20.000Z"
"Split 9","","Total distance: 0.16 km (0.1 mi)
Total time: 00:59
Moving time: 00:36
Average speed: 9.73 km/h (6.0 mi/h)
Average moving speed: 16.22 km/h (10.1 mi/h)
Max speed: 18.85 km/h (11.7 mi/h)
Average pace: 6:10 min/km (9:55 min/mi)
Average moving pace: 3:42 min/km (5:57 min/mi)
Fastest pace: 3:11 min/km (5:07 min/mi)
Max elevation: -67 m (-221 ft)
Min elevation: -69 m (-226 ft)
Elevation gain: 0 m (0 ft)
Max grade: 0 %
Min grade: 0 %
Recorded: 29/10/2016 8:48pm
","16.51753","80.63117","-67.0","257.0","10","0","2016-10-29T15:19:20.000Z"
"Split 10","","Total distance: 0.24 km (0.2 mi)
Total time: 01:00
Moving time: 01:01
Average speed: 14.60 km/h (9.1 mi/h)
Average moving speed: 14.40 km/h (9.0 mi/h)
Max speed: 19.49 km/h (12.1 mi/h)
Average pace: 4:06 min/km (6:37 min/mi)
Average moving pace: 4:10 min/km (6:42 min/mi)
Fastest pace: 3:05 min/km (4:57 min/mi)
Max elevation: -67 m (-219 ft)
Min elevation: -67 m (-220 ft)
Elevation gain: 0 m (0 ft)
Max grade: 0 %
Min grade: 0 %
Recorded: 29/10/2016 8:49pm
","16.519651","80.631231","-66.0","5.0","10","3.713","2016-10-29T15:20:21.000Z"
"Split 11","","Total distance: 0.12 km (0.1 mi)
Total time: 00:59
Moving time: 00:28
Average speed: 7.29 km/h (4.5 mi/h)
Average moving speed: 15.58 km/h (9.7 mi/h)
Max speed: 15.58 km/h (9.7 mi/h)
Average pace: 8:14 min/km (13:15 min/mi)
Average moving pace: 3:51 min/km (6:12 min/mi)
Fastest pace: 3:51 min/km (6:12 min/mi)
Max elevation: -65 m (-212 ft)
Min elevation: -66 m (-217 ft)
Elevation gain: 0 m (0 ft)
Max grade: 0 %
Min grade: 0 %
Recorded: 29/10/2016 8:50pm
","16.520788","80.631465","-64.0","15.0","10","2.5271","2016-10-29T15:21:15.000Z"
"Split 12","","Total distance: 0.03 km (0.0 mi)
Total time: 00:59
Moving time: 00:02
Average speed: 1.85 km/h (1.1 mi/h)
Average moving speed: 55.42 km/h (34.4 mi/h)
Max speed: 55.42 km/h (34.4 mi/h)
Average pace: 32:28 min/km (52:16 min/mi)
Average moving pace: 1:05 min/km (1:45 min/mi)
Fastest pace: 1:05 min/km (1:45 min/mi)
Max elevation: -63 m (-206 ft)
Min elevation: -64 m (-210 ft)
Elevation gain: 0 m (0 ft)
Max grade: 0 %
Min grade: 0 %
Recorded: 29/10/2016 8:51pm
","16.521017","80.631617","-62.0","15.0","30","0","2016-10-29T15:21:59.001Z"
"Split 13","","Total distance: 0.32 km (0.2 mi)
Total time: 01:00
Moving time: 01:17
Average speed: 19.44 km/h (12.1 mi/h)
Average moving speed: 15.15 km/h (9.4 mi/h)
Max speed: 19.75 km/h (12.3 mi/h)
Average pace: 3:05 min/km (4:58 min/mi)
Average moving pace: 3:58 min/km (6:22 min/mi)
Fastest pace: 3:02 min/km (4:53 min/mi)
Max elevation: -62 m (-203 ft)
Min elevation: -63 m (-208 ft)
Elevation gain: 0 m (0 ft)
Max grade: -1 %
Min grade: -1 %
Recorded: 29/10/2016 8:52pm
","16.521633","80.633899","-65.0","19.0","30","5.1008","2016-10-29T15:23:20.001Z"
"Split 14","","Total distance: 0.18 km (0.1 mi)
Total time: 01:00
Moving time: 00:47
Average speed: 10.68 km/h (6.6 mi/h)
Average moving speed: 13.63 km/h (8.5 mi/h)
Max speed: 18.62 km/h (11.6 mi/h)
Average pace: 5:37 min/km (9:03 min/mi)
Average moving pace: 4:24 min/km (7:05 min/mi)
Fastest pace: 3:13 min/km (5:11 min/mi)
Max elevation: -64 m (-211 ft)
Min elevation: -65 m (-213 ft)
Elevation gain: 0 m (0 ft)
Max grade: 0 %
Min grade: 0 %
Recorded: 29/10/2016 8:53pm
","16.523243","80.63441","-63.0","14.0","30","2.6246","2016-10-29T15:24:09.001Z"
"Split 15","","Total distance: 0.29 km (0.2 mi)
Total time: 01:00
Moving time: 01:03
Average speed: 17.66 km/h (11.0 mi/h)
Average moving speed: 16.82 km/h (10.5 mi/h)
Max speed: 16.82 km/h (10.5 mi/h)
Average pace: 3:24 min/km (5:28 min/mi)
Average moving pace: 3:34 min/km (5:44 min/mi)
Fastest pace: 3:34 min/km (5:44 min/mi)
Max elevation: -62 m (-204 ft)
Min elevation: -63 m (-207 ft)
Elevation gain: 0 m (0 ft)
Max grade: 0 %
Min grade: 0 %
Recorded: 29/10/2016 8:54pm
","16.523447","80.636288","-63.0","177.0","30","3.6447","2016-10-29T15:25:15.001Z"

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","16.511367","80.638621","-54.0","19.0","30","4.1461","2016-10-29T15:06:19.219Z","","",""
"1","2","16.513392","80.639227","-58.0","4.0","30","5.0997","2016-10-29T15:11:36.000Z","","",""
"1","3","16.515058","80.639439","-61.0","11.0","30","5.1284","2016-10-29T15:12:21.000Z","","",""
"1","4","16.517631","80.634246","-68.0","254.0","30","5.777","2016-10-29T15:17:17.000Z","","",""
